Test Number: 1
Sensor: SPS30
Start Time: 1621373322.8505075
Stop Time: 1621373946.7213097
Run Time: 624
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1.023318084794879,1.0302195711151982,1.0349143073384126,1.0357740076116564
69,1621373324.1800003,148.10799102783204,174.73574981689453,189.3983596801758,192.33087615966798
70,1621373334.22,148.96161804199218,174.37716979980468,188.01901550292968,190.7473907470703
71,1621373344.2999997,149.0111511230469,174.5945053100586,188.36985931396484,191.1248809814453
72,1621373354.3199997,149.0644287109375,174.70364227294922,188.52166900634765,191.28531188964843
73,1621373364.3999999,146.179248046875,171.98337097167968,186.06907348632814,188.88623046875
74,1621373374.0,141.64747450086804,165.30220879448785,177.8591545952691,180.37053765190973
75,1621373383.5600002,139.19304962158202,161.34437561035156,172.7987503051758,175.0895980834961
76,1621373393.6000001,140.28355102539064,162.6981460571289,174.31480560302734,176.63816528320314
77,1621373403.6800003,139.77579498291016,163.16507873535156,175.59423370361327,178.0800323486328
78,1621373413.7899997,141.60301055908204,166.39918518066406,179.88199310302736,182.57854461669922
79,1621373423.8199997,144.9271453857422,169.58679962158203,182.80453186035157,185.4480438232422
80,1621373433.8999999,144.01699523925782,167.37445068359375,179.5805923461914,182.02183837890624
81,1621373443.98,141.35125427246095,165.83388061523436,179.0746337890625,181.72276000976564
82,1621373454.0500002,142.04623260498047,168.00937042236328,182.416015625,185.2972885131836
83,1621373464.1000001,143.72419281005858,169.10472564697267,182.96182403564453,185.7331787109375
84,1621373474.2000003,142.9749557495117,168.1903839111328,181.9486511230469,184.70033416748046
85,1621373484.2399998,142.80328979492188,168.76100158691406,183.12801055908204,186.0014419555664
86,1621373494.2999997,143.09625244140625,168.6012741088867,182.58832244873048,185.38575286865233
87,1621373504.3899999,148.47851104736327,173.4810531616211,186.81114807128907,189.47713470458984
88,1621373513.9111109,156.13321770562067,181.8381839328342,195.38069661458334,198.08921813964844
89,1621373523.5,157.8176239013672,183.4260025024414,196.81207427978515,199.48932342529298
90,1621373533.5300002,157.94725646972657,184.43394622802734,198.5248794555664,201.34303436279296
91,1621373543.6000001,155.060546875,181.3228012084961,195.3662887573242,198.17496337890626
92,1621373553.6700003,149.03704528808595,173.82589416503907,186.9570556640625,189.58325653076173
93,1621373563.7499995,148.14170837402344,172.0729766845703,184.5517379760742,187.04745178222657
94,1621373573.8099997,144.2638687133789,167.11486053466797,178.8996124267578,181.25657653808594
95,1621373583.8999999,141.30303344726562,162.3957260131836,172.89518127441406,174.99505310058595
96,1621373593.98,138.2123229980469,158.0218017578125,167.62646026611327,169.54739227294922
97,1621373604.0700002,136.58922119140624,157.07274932861327,167.2984161376953,169.34354705810546
98,1621373614.1000001,142.99696502685546,163.95174102783204,174.26080780029298,176.32260284423828
99,1621373624.1700003,143.52758178710937,165.45533294677733,176.52716522216798,178.7414810180664
100,1621373634.2399998,140.32874145507813,162.68389434814452,174.2503692626953,176.56368408203124
101,1621373644.2999997,137.72250213623047,160.948779296875,173.34148864746095,175.81999664306642
102,1621373654.35,136.23404235839843,159.70471954345703,172.3644577026367,174.89642791748048
103,1621373663.9111109,140.6442616780599,164.2810533311632,176.87010701497397,179.38796997070312
104,1621373673.49,144.1176010131836,169.1230026245117,182.6581604003906,185.3651916503906
105,1621373683.5300002,147.5004409790039,173.08407440185547,186.92989959716797,189.69910125732423
106,1621373693.6000001,149.36788635253907,173.3567153930664,185.82499237060546,188.3186294555664
107,1621373703.6200004,147.58196258544922,170.5590606689453,182.29156951904298,184.63808898925782
108,1621373713.6900003,143.31512451171875,164.35282135009766,174.71417846679688,176.78641052246093
109,1621373723.7899997,143.59209136962892,165.81798706054687,177.12811126708985,179.39014434814453
110,1621373733.85,143.9148742675781,166.89405670166016,178.7987808227539,181.17971649169922
111,1621373743.8999999,143.11168060302734,164.98700256347655,176.0357238769531,178.2455062866211
112,1621373753.99,143.8806167602539,166.13341369628907,177.4518829345703,179.7155776977539
113,1621373764.0300002,141.55798797607423,164.02535552978514,175.62551879882812,177.94550018310548
114,1621373774.1100001,142.50252532958984,165.29763793945312,177.11913604736327,179.4834014892578
115,1621373784.1800003,143.2697280883789,166.47623748779296,178.59490509033202,181.0186767578125
116,1621373794.2399998,146.82781677246095,170.6596206665039,183.11896057128905,185.61083984375
117,1621373804.2999997,151.47042694091797,176.84104766845704,190.3297897338867,193.0275665283203
118,1621373814.3999999,154.4610855102539,183.07256317138672,199.04522399902345,202.23969116210938
119,1621373823.9777777,156.1668497721354,186.11627197265625,203.09238857693143,206.48763020833334
120,1621373833.5,155.44109649658202,185.91005249023436,203.34034271240233,206.8264633178711
121,1621373843.5500002,149.3197784423828,175.27859191894532,189.34350128173827,192.15642395019532
122,1621373853.6200004,145.1065673828125,169.43090362548827,182.36888427734374,184.9564971923828
123,1621373863.7100003,142.6781799316406,166.2730255126953,178.73357849121095,181.2256866455078
124,1621373873.7999997,139.7815734863281,162.22687683105468,173.8917678833008,176.2247314453125
125,1621373883.85,138.2209487915039,161.75818939208983,174.3793960571289,176.90363464355468
126,1621373893.8999999,137.8003387451172,161.05694274902345,173.47054138183594,175.95330810546875
127,1621373904.0,141.37740936279297,166.3730453491211,180.0277297973633,182.7586929321289
128,1621373914.0800004,144.04098663330078,171.15100708007813,186.39305419921874,189.44149780273438
129,1621373924.1400003,149.5515625,179.11746826171876,196.0908401489258,199.4855224609375
130,1621373934.2000003,153.1857162475586,183.15604095458986,200.2877410888672,203.71405639648438
131,1621373944.2499998,155.3168930053711,184.07390747070312,200.12449493408204,203.3346206665039
