Test Number: 1
Sensor: SPS30
Start Time: 1621373322.8505075
Stop Time: 1621373946.7213097
Run Time: 624
Samples,Epoch_UTC,NumbConc_0.5,NumbConc_1.0,NumbConc_2.5,NumbConc_4.0,NumbConc_10.
1,1,1.0210096506113742,1.022278135999697,1.023252437815539,1.0234497588532179,1.0234767421522422
69,1621373324.1800003,971.8035827636719,1157.8649658203126,1180.8509643554687,1184.8369873046875,1185.5270141601563
70,1621373334.22,979.9784118652344,1165.9173706054687,1187.7455078125,1191.4875,1192.1448364257812
71,1621373344.2999997,980.0039611816406,1166.144189453125,1188.1301147460938,1191.9045166015626,1192.566357421875
72,1621373354.3199997,980.266357421875,1166.5139526367188,1188.5518798828125,1192.3367553710937,1193.0001098632813
73,1621373364.3999999,960.04697265625,1143.2681518554687,1165.5042358398437,1169.3451049804687,1170.0133666992188
74,1621373374.0,932.8272637261284,1109.1877577039932,1129.4594862196182,1132.917453342014,1133.5287679036458
75,1621373383.5600002,918.7243286132813,1091.0722412109376,1109.9595458984375,1113.1437622070312,1113.7151245117188
76,1621373393.6000001,925.7529846191406,1099.52958984375,1118.6496459960938,1121.8763549804687,1122.4545654296876
77,1621373403.6800003,920.4123718261719,1094.4837280273437,1114.5321655273438,1117.95361328125,1118.5581176757812
78,1621373413.7899997,930.3692016601562,1107.6794677734374,1129.0303466796875,1132.7118530273438,1133.3538208007812
79,1621373423.8199997,953.5640258789062,1134.40791015625,1155.5810302734376,1159.2084594726562,1159.8462280273438
80,1621373433.8999999,949.7378234863281,1128.4422973632813,1148.3984008789062,1151.7786987304687,1152.381640625
81,1621373443.98,929.2229736328125,1105.9821899414062,1127.0405517578124,1130.6628295898438,1131.2963745117188
82,1621373454.0500002,931.2283142089843,1110.0465454101563,1132.4935180664063,1136.3995361328125,1137.0727661132812
83,1621373464.1000001,943.9047058105468,1124.0572631835937,1145.9291625976562,1149.7074340820313,1150.3647338867188
84,1621373474.2000003,939.0459533691406,1118.2306640625,1139.9575439453124,1143.7097290039062,1144.3627197265625
85,1621373484.2399998,936.462451171875,1116.1078979492188,1138.5386596679687,1142.43740234375,1143.1103271484376
86,1621373494.2999997,939.3370971679688,1118.90849609375,1140.9072387695312,1144.7150390625,1145.3757690429688
87,1621373504.3899999,977.4231811523438,1162.4699340820312,1183.9149047851563,1187.580126953125,1188.2264892578125
88,1621373513.9111109,1028.9190402560764,1222.9925265842014,1244.9888916015625,1248.7283393012153,1249.3922932942708
89,1621373523.5,1040.7238891601562,1236.5640258789062,1258.44443359375,1262.1511474609374,1262.81220703125
90,1621373533.5300002,1039.9631103515626,1236.7140991210938,1259.4224975585937,1263.299853515625,1263.9844482421875
91,1621373543.6000001,1020.4669738769531,1213.8491943359375,1236.3878784179688,1240.2451538085938,1240.9242309570313
92,1621373553.6700003,981.6800048828125,1167.153564453125,1188.3884521484374,1192.0073120117188,1192.6478149414063
93,1621373563.7499995,977.1180847167968,1160.857470703125,1181.2952270507812,1184.7537231445312,1185.3713745117188
94,1621373573.8099997,952.3958740234375,1130.9285034179688,1150.4024658203125,1153.6816772460938,1154.2709838867188
95,1621373583.8999999,935.278955078125,1109.019482421875,1126.8755737304687,1129.835400390625,1130.3780029296875
96,1621373593.98,916.3705078125,1085.5918334960938,1102.280859375,1105.0152587890625,1105.5239135742188
97,1621373604.0700002,903.9003662109375,1071.92763671875,1089.2773193359376,1092.1569091796875,1092.6839477539063
98,1621373614.1000001,947.2274658203125,1122.7089233398438,1140.4098388671875,1143.3287475585937,1143.8673706054688
99,1621373624.1700003,949.0552062988281,1125.97099609375,1144.5834350585938,1147.6882202148438,1148.2528686523438
100,1621373634.2399998,926.1768127441406,1099.951123046875,1119.0142822265625,1122.2290283203124,1122.8056518554688
101,1621373644.2999997,906.5513061523437,1078.2235107421875,1098.148046875,1101.5545654296875,1102.155029296875
102,1621373654.35,895.8198913574219,1066.070166015625,1086.2474609375,1089.7140258789063,1090.321337890625
103,1621373663.9111109,925.9385443793403,1101.1808675130208,1121.4503987630208,1124.9131401909722,1125.5240749782986
104,1621373673.49,947.3263549804688,1127.583056640625,1149.0947265625,1152.7963989257812,1153.4435791015626
105,1621373683.5300002,969.5791015625,1154.0593505859374,1176.0677490234375,1179.854638671875,1180.5167236328125
106,1621373693.6000001,985.4705810546875,1170.6078491210938,1191.0820068359376,1194.5416748046875,1195.1606567382812
107,1621373703.6200004,975.0539184570313,1157.3433959960937,1176.8878295898437,1180.1643920898437,1180.7565063476563
108,1621373713.6900003,949.2666320800781,1125.1702270507812,1142.94482421875,1145.87734375,1146.4181030273437
109,1621373723.7899997,948.9384155273438,1126.1859375,1145.0791259765624,1148.2417114257812,1148.8143188476563
110,1621373733.85,949.7460754394531,1128.00732421875,1147.60751953125,1150.9147094726563,1151.50751953125
111,1621373743.8999999,946.2841552734375,1122.6970336914062,1141.2660522460938,1144.3640380859374,1144.9273071289062
112,1621373753.99,950.8786193847657,1128.4667846679688,1147.3811401367188,1150.5465942382812,1151.1198852539062
113,1621373764.0300002,934.4474487304688,1109.6708374023438,1128.8220336914062,1132.0485595703126,1132.6280029296875
114,1621373774.1100001,940.3473449707031,1116.8954833984376,1136.3424926757812,1139.6253295898437,1140.2134155273438
115,1621373784.1800003,944.8660095214843,1122.6171142578125,1142.4415893554688,1145.7985473632812,1146.39755859375
116,1621373794.2399998,968.239306640625,1150.4477416992188,1170.8108154296874,1174.260693359375,1174.8758911132813
117,1621373804.2999997,997.3746215820313,1186.03134765625,1207.7802001953125,1211.4927001953124,1212.1484619140624
118,1621373814.3999999,1011.9031860351563,1206.6818481445312,1231.4489501953126,1235.7704956054688,1236.512744140625
119,1621373823.9777777,1021.1518893771702,1218.9756944444443,1244.9818657769097,1249.5509847005208,1250.3288709852432
120,1621373833.5,1015.1648986816406,1212.6456298828125,1239.1533325195312,1243.8299926757813,1244.6219482421875
121,1621373843.5500002,981.4259460449218,1168.2338134765625,1190.5699951171875,1194.415234375,1195.0870971679688
122,1621373853.6200004,955.4339599609375,1136.181689453125,1157.0353881835938,1160.5957763671875,1161.2244995117187
123,1621373863.7100003,940.0522216796875,1117.4930419921875,1137.6931030273438,1141.1308715820312,1141.7404052734375
124,1621373873.7999997,922.2312927246094,1095.4831665039062,1114.63955078125,1117.8764404296876,1118.4555786132812
125,1621373883.85,909.4046630859375,1081.896728515625,1102.1077270507812,1105.5709716796875,1106.1797119140624
126,1621373893.8999999,907.03125,1078.8155639648437,1098.7675903320312,1102.1793823242188,1102.7806640625
127,1621373904.0,928.4366394042969,1105.6734130859375,1127.216064453125,1130.938427734375,1131.5857666015625
128,1621373914.0800004,942.8312255859375,1124.8450317382812,1148.3463745117188,1152.4601806640626,1153.1638549804688
129,1621373924.1400003,976.2273315429687,1166.4456176757812,1192.1865600585938,1196.7351440429688,1197.5038330078125
130,1621373934.2000003,1000.5418640136719,1195.1077880859375,1221.1774658203126,1225.7752197265625,1226.554150390625
131,1621373944.2499998,1017.5342041015625,1213.380712890625,1238.2727416992188,1242.6157104492188,1243.3617065429687
