Sample,Filter,Layers,Date,dP,pen_total,0.3,0.37,0.46,0.57,0.71,0.88,1.09,1.35,1.68,2.08,2.58,3.2,3.96,4.92,6.1,7.56,9.37,Total
22,H400,1,07/12/2021,57,0.2020360219,0.3088852691,0.220364286,0.1390166462,0.08117940973,0.047451719,0.03792473318,0.02764096155,0.01200154859,0.006017125665,0.01052631579,0,0,0,nan,nan,nan,nan,0.236160187
23,H400,1,07/12/2021,68,0.1909584087,0.2827737828,0.1996535815,0.1215001539,0.07288070579,0.0467039801,0.03278494496,0.01432614079,0.009069152286,0.007819548872,0.007421150278,0,0,0,0,nan,nan,nan,0.2166880045
24,H400,1,07/12/2021,64,0.175862069,0.2526805167,0.1831873183,0.1170159977,0.07771989844,0.05585564878,0.0374099605,0.02383183826,0.01112594571,0.009254974549,0,0,0,0,0,nan,nan,nan,0.2008246009
25,PELL_930,5,07/12/2021,9,0.8522623144,0.8779294997,0.885913137,0.8965794254,0.9305108514,0.9394068883,0.9235642473,0.8952861953,0.8589108911,0.8066666667,0.7872340426,0.46875,0.2727272727,0,0,nan,nan,nan,0.8862186828
26,PELL_930,5,07/12/2021,9,0.8494195046,0.8722200669,0.8681183857,0.858892352,0.8493062365,0.8427779424,0.8380792853,0.8001984783,0.8057464085,0.7598012148,0.7080745342,0.6769230769,0.5263157895,1.333333333,nan,nan,nan,nan,0.866626634
27,PELL_930,5,07/12/2021,10,0.8731349238,0.8996729719,0.8970046631,0.8908712141,0.8721886999,0.8488490183,0.834750036,0.7935306263,0.8323510151,0.6953989517,0.6997742664,0.5333333333,1.090909091,0,nan,nan,nan,nan,0.8939088751
28,SMT_FB_THCK,5,07/21/2021,23,0.7397509554,0.7606456347,0.7537629639,0.7285373261,0.6999613244,0.6965917077,0.6458075847,0.6019586507,0.5796443435,0.5575167377,0.4194260486,0.253164557,0.1,0.4,nan,nan,nan,nan,0.7472303799
29,SMT_FB_THCK,5,07/21/2021,24,0.7639955511,0.7640187616,0.7712880535,0.7620621743,0.7580703538,0.7405529954,0.7132792769,0.6570915619,0.6421880854,0.5948275862,0.5829596413,0.2368421053,0.4,0,nan,nan,nan,nan,0.7633003433
30,SMT_FB_THCK,5,07/21/2021,24,0.761825548,0.7721184335,0.7748872747,0.764843397,0.7559451578,0.7432669642,0.7147109727,0.6734979041,0.6482705014,0.5266538215,0.4398148148,0.3793103448,0,0,0,nan,nan,nan,0.7687696402
31,SMT_FB_THCK,7,07/21/2021,35,0.7506214201,0.7449947026,0.7545388502,0.758564405,0.7595125229,0.7063593902,0.7114308553,0.6487455197,0.6488164532,0.5320754717,0.4601769912,0.3636363636,0.4,0,nan,nan,nan,nan,0.7479310866
32,SMT_FB_THCK,7,07/21/2021,41,0.6435227579,0.6703722142,0.6699092658,0.6620373126,0.6596559699,0.6082101127,0.5809511763,0.4940204392,0.4595712674,0.4343434343,0.3303571429,0.3571428571,0,0,nan,nan,nan,nan,0.6646470056
33,SMT_FB_THCK,7,07/21/2021,45,0.7117893445,0.7317301478,0.7293723871,0.7246604765,0.7041665924,0.6769150599,0.6556758117,0.5595471369,0.5463994061,0.5388409371,0.4229979466,0.2592592593,0.1176470588,0,nan,nan,nan,nan,0.7252533095
34,H400,2,07/21/2021,115,0.04978724529,0.06782579048,0.05159416728,0.03903265758,0.03480360821,0.02903225806,0.02129670468,0.0235747964,0.01842299189,0.01813031161,0,0,0,0,nan,nan,nan,nan,0.05636797022
35,H400,2,07/21/2021,112,0.05845410628,0.0748612338,0.05608799411,0.04315472359,0.03704369718,0.03026678454,0.02533290029,0.02641264343,0.02322967404,0.01881246326,0.02828282828,0,0,0,nan,nan,nan,nan,0.06207483065
36,H400,2,07/21/2021,104,0.05170404085,0.06621852663,0.04748047071,0.03457410305,0.02848836075,0.02178527539,0.01697271198,0.01388888889,0.01163757273,0.008456659619,0.008888888889,0,0,0,0,nan,nan,nan,0.05364164291
37,H400,3,07/21/2021,187,0.01168595416,0.01805450931,0.009604859895,0.004294729259,0.002626020437,0.0008641641912,0.0001392175971,0,0,0,0,0,0,0,0,nan,nan,nan,0.01258891869
38,H400,3,07/21/2021,178,0.008300248478,0.01256352636,0.006718117616,0.003821333177,0.002552516298,0.002119154265,0.00158817421,0.0004199916002,0.001431127013,0,0,0,0,0,nan,nan,nan,nan,0.00886640438
39,H400,3,07/21/2021,170,0.01565755015,0.02182898788,0.01531763789,0.01031055174,0.008250017479,0.008356947313,0.005112538188,0.004314994606,0.002164502165,0.001137009665,0,0,0,0,nan,nan,nan,nan,0.01721896483
40,CA_N95_IPA,1,07/21/2021,46,0.1030764318,0.1386827074,0.1048887129,0.07440174039,0.05762735966,0.04491947003,0.03310836623,0.02504943968,0.02579218865,0.01407624633,0.008281573499,0,0,0,nan,nan,nan,nan,0.1129679903
41,CA_N95_IPA,1,07/21/2021,49,0.1878342422,0.2396560426,0.1892672076,0.1424996808,0.1085181657,0.09008836876,0.06059870059,0.03631112028,0.03534078615,0.02393162393,0,0,0,0,nan,nan,nan,nan,0.1995673471
42,CA_N95_IPA,1,07/21/2021,45,0.1716735823,0.21596249,0.1702351146,0.1249189053,0.09414319019,0.07621905476,0.04827186716,0.03776129467,0.02313922098,0.01556886228,0.01327433628,0,0,0,nan,nan,nan,nan,0.1792620863
43,CA_N99_IPA,1,07/21/2021,39,0.3156567041,0.3860535518,0.3353754267,0.277763574,0.2479576065,0.2145523342,0.1630779615,0.1410044801,0.1170423092,0.09838107098,0.07906976744,0.06666666667,0,0,0,nan,nan,nan,0.3433408471
44,CA_N99_IPA,1,07/21/2021,47,0.1460348425,0.1797032284,0.147170703,0.1183731433,0.1041557469,0.09863157895,0.07004054243,0.0618805898,0.04969450102,0.05733333333,0.07710843373,0.02985074627,0,0,0,nan,nan,nan,0.1556019958
45,CA_N99_IPA,1,07/21/2021,36,0.1881583324,0.2178747205,0.1873048555,0.161076888,0.1463050608,0.142273465,0.1133333333,0.112335958,0.1020497165,0.1215629522,0.0580474934,0.06451612903,0,0,0,nan,nan,nan,0.1957368878
46,FLANNEL,2,07/22/2021,50,0.561209369,0.6635664685,0.6137296809,0.54609681,0.5068665549,0.4688185419,0.3829262433,0.3351433646,0.3118568647,0.2697121402,0.2068493151,0.07228915663,0,0,0,nan,nan,nan,0.6007794145
47,FLANNEL,2,07/22/2021,53,0.7518500772,0.7930339509,0.7589299372,0.7095154878,0.656246726,0.6063563861,0.5222359372,0.4516453996,0.4013411908,0.3644827586,0.2794561934,0.21875,0.1333333333,0,0,nan,nan,nan,0.74139727
48,FLANNEL,2,07/22/2021,56,0.6437268972,0.7357791037,0.698669181,0.6345397716,0.5806873122,0.5419599638,0.4438799689,0.3802299976,0.3593068753,0.3222584982,0.2306425041,0.1523809524,0,0,nan,nan,nan,nan,0.6788010096
49,FLANNEL,3,07/22/2021,83,0.7197246418,0.7755715083,0.7608196724,0.7023099004,0.6490611617,0.6064938082,0.4901179886,0.4074029419,0.36347731,0.3041090703,0.1980519481,0.1463414634,0,0,0,nan,nan,nan,0.7313330665
50,FLANNEL,3,07/22/2021,71,0.557906843,0.6798751481,0.6259834133,0.5537988192,0.4798656427,0.4198080989,0.3355214683,0.274953911,0.2306828812,0.2148653035,0.1575342466,0.1045751634,0,0,0,nan,nan,nan,0.602894764
51,FLANNEL,3,07/22/2021,78,0.7762514407,0.9558554519,0.9094714543,0.8214752501,0.7391841053,0.6740134302,0.5763977559,0.4565581618,0.422895189,0.371522694,0.2690238278,0.1515151515,0,nan,0,nan,nan,nan,0.8730577563
52,ADVANCHK_SMS,2,07/30/2021,27,0.7588164251,0.9004707165,0.856091479,0.7840241886,0.6978631512,0.6204555714,0.5484613952,0.4998508251,0.4517699251,0.3737042734,0.373157092,0.3172413793,0.4,1,nan,nan,nan,nan,0.8229329889
53,ADVANCHK_SMS,2,07/30/2021,30,0.7002580096,0.8503414329,0.8033084258,0.7227015911,0.6519124124,0.5619415019,0.5006462411,0.4400708631,0.3846508316,0.301695207,0.2989963022,0.1375661376,0.07692307692,0,0,nan,nan,nan,0.7724467035
54,ADVANCHK_SMS,2,07/30/2021,28,0.7545815387,0.854028375,0.8225866705,0.7385038885,0.70276827,0.6160460052,0.5638518983,0.4828136427,0.444074223,0.4075228595,0.3730084349,0.2845849802,0.2564102564,0,0,nan,nan,nan,0.7921773069
55,ADVANCHK_SMS,3,07/30/2021,35,0.5367787315,0.7167338396,0.6517325528,0.557318679,0.5029901666,0.4045526065,0.3704666471,0.2970303506,0.2796045068,0.2214866654,0.2051677594,0.05504587156,0.1153846154,0.1333333333,0,nan,0,nan,0.6274086203
56,ADVANCHK_SMS,3,07/30/2021,47,0.5708763279,0.7482481473,0.6684991863,0.5535883928,0.4755705266,0.3877199565,0.3312423873,0.2879231357,0.2523234459,0.2164770141,0.1953010279,0.1379310345,0.2083333333,0,0,nan,0,nan,0.6387073922
57,ADVANCHK_SMS,3,07/30/2021,31,0.591706179,0.7428844926,0.6822447259,0.590783006,0.5339457719,0.4673128237,0.4126228892,0.3728035207,0.3401671309,0.313353223,0.2837395417,0.1907692308,0.2608695652,0.25,0,nan,nan,nan,0.6585558937
58,ADVANCHK_SMS,1,08/03/2021,17,0.8952856697,0.9635065448,0.9478500755,0.9239520534,0.8682188124,0.821754094,0.7850214302,0.7294085239,0.6567613063,0.5273430782,0.3744058501,0.275862069,0,nan,nan,nan,0,nan,0.9260041893
59,ADVANCHK_SMS,1,08/03/2021,18,0.7650598748,0.9041974734,0.8525725443,0.7907243433,0.708580191,0.6516655947,0.5914721018,0.5459567684,0.4918088376,0.3852055237,0.2622743111,0.2019230769,0,0,0,nan,nan,nan,0.8236014435
60,ADVANCHK_SMS,1,08/03/2021,18,0.7938138028,0.9312924463,0.8922047868,0.8559351901,0.7763045907,0.7284771657,0.665442778,0.6279951927,0.5577529254,0.4731554955,0.3636959371,0.2844036697,0.4,0.6666666667,0,nan,nan,nan,0.869150987
61,PELL_930,10,08/03/2021,16,0.8561024949,0.9190653755,0.9035690683,0.8913367466,0.841581414,0.810597645,0.7721390141,0.7425555974,0.7051095623,0.627684108,0.5134453782,0.3875,0.08333333333,0.6666666667,nan,nan,nan,nan,0.8903638514
62,PELL_930,10,08/03/2021,15,0.8405505203,0.9090956378,0.8892526491,0.8827786038,0.8323096966,0.7857745033,0.7635621515,0.7461054587,0.725885242,0.6541209084,0.5313857086,0.3111111111,0.1481481481,0,nan,nan,nan,nan,0.8802192194
63,PELL_930,10,08/03/2021,16,0.8468025765,0.9038248804,0.8895184254,0.8726898357,0.8201905362,0.7577864683,0.7498851651,0.7015093197,0.6824395673,0.6035482375,0.4216634429,0.2843137255,0.1714285714,0,0,nan,nan,nan,0.8734955004
64,PELL_930,15,08/03/2021,27,0.7372288071,0.8553941231,0.8141278774,0.7601283311,0.6703430827,0.5943971996,0.5940364377,0.5344335436,0.4863625636,0.4085901548,0.3501133787,0.1465968586,0,0,0,nan,nan,nan,0.7908722472
65,PELL_930,15,08/03/2021,25,0.7648765301,0.883460491,0.8566694067,0.8101211826,0.7199672407,0.6694674861,0.6543061092,0.6129742689,0.5726652239,0.4957861582,0.4388489209,0.328042328,0.2857142857,0,nan,nan,nan,nan,0.833351135
66,PELL_930,15,08/03/2021,26,0.7063365887,0.8267663951,0.7753471019,0.7030761623,0.6274698753,0.5473909769,0.510310043,0.4668873148,0.4119490695,0.3282866999,0.2826639553,0.1818181818,0.2068965517,0,nan,0,nan,nan,0.7513155674
67,HAL_MASK,1,08/03/2021,11,0.4476571429,0.582745262,0.5090124564,0.4387568797,0.4048307385,0.3569785609,0.3338937611,0.3184448208,0.3188055371,0.3060384263,0.3092436975,0.4624277457,0.2142857143,0,nan,2,nan,nan,0.5061452521
68,HAL_MASK,1,08/03/2021,12,0.3985616324,0.5271191187,0.4499929708,0.3684081153,0.3433289993,0.3028318686,0.2777460198,0.2723338485,0.2636819337,0.2742814668,0.2807424594,0.2208588957,0.2162162162,0,nan,0,nan,0,0.4480503974
69,HAL_MASK,1,08/03/2021,9,0.5364677517,0.6405543381,0.5937575048,0.5438608764,0.5413083078,0.5097739485,0.4739732423,0.4684790251,0.4580480044,0.4591517578,0.4475362319,0.4216216216,0.2424242424,0,nan,2,nan,0,0.5924354912
70,FILTI,1,08/03/2021,9,0.7600819015,0.8342937015,0.8061856032,0.7754798041,0.7646511628,0.7301396049,0.7124559995,0.704812369,0.7171264529,0.6960661488,0.7140381282,0.5604395604,0.4444444444,1.2,0,nan,nan,nan,0.8025900785
71,FILTI,1,08/03/2021,6,0.8244528581,0.8703793143,0.8538965074,0.8393238548,0.8357055595,0.8072954638,0.8189410632,0.8134738964,0.8125141009,0.8206759443,0.761789601,0.7975460123,0.4,0.5714285714,0,nan,nan,nan,0.8538701525
72,FILTI,1,08/03/2021,9,0.7719362521,0.8434797168,0.8258809128,0.7993886495,0.7911942608,0.7780627766,0.7651044178,0.7513873474,0.7614012829,0.7961689587,0.7192982456,0.7357512953,0.96,0.4,2,nan,nan,nan,0.8217558695
73,FILTI_WASH,1,08/03/2021,2,0.9642181163,0.9826047759,0.9670139836,0.9561817441,0.914034094,0.9071526112,0.889617219,0.8827962778,0.8493943472,0.8320943953,0.784769963,0.890052356,0.8461538462,0.8571428571,2,nan,nan,nan,0.9617709674
74,FILTI_WASH,1,08/03/2021,3,0.8932128366,0.9530971386,0.9283643428,0.8991218261,0.8876466405,0.8525871172,0.8361292601,0.8162936725,0.8187134503,0.8103140158,0.7680090754,0.8050314465,1.032258065,8,nan,0,nan,nan,0.9234893001
