Epoch_UTC,Local_Date_Time,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.,NumbConc_0.5,NumbConc_1.0,NumbConc_2.5,NumbConc_4.0,NumbConc_10.,TypPartSize
1620846444.4,2021-05-12T12:07:24.400000-07:00,0.8730424046516418,1.3056560754776,1.6151779890060425,1.6770830154418945,5.208926677703857,6.546848773956299,6.9427900314331055,7.02018404006958,7.031652450561523,0.7029190063476562
1620846445.5,2021-05-12T12:07:25.500000-07:00,0.8945571184158325,1.2947837114334106,1.5770941972732544,1.6335564851760864,5.418421268463135,6.751652717590332,7.116678237915039,7.187561988830566,7.198157787322998,0.6654744744300842
1620846446.5,2021-05-12T12:07:26.500000-07:00,0.9106107354164124,1.2843036651611328,1.5443928241729736,1.5964113473892212,5.579200744628906,6.906861305236816,7.246581554412842,7.312145709991455,7.322025775909424,0.6325796842575073
1620846447.5,2021-05-12T12:07:27.500000-07:00,0.9268882274627686,1.2188749313354492,1.4120804071426392,1.4507211446762085,5.845505714416504,7.11957311630249,7.381855010986328,7.431308746337891,7.438992023468018,0.6155545711517334
1620846448.5,2021-05-12T12:07:28.500000-07:00,0.9477863907814026,1.2359004020690918,1.4249999523162842,1.462820291519165,5.997007369995117,7.290653228759766,7.548969745635986,7.597493648529053,7.605069637298584,0.6316306591033936
1620846449.5,2021-05-12T12:07:29.500000-07:00,0.9712987542152405,1.3126122951507568,1.5436744689941406,1.5898864269256592,6.058988571166992,7.425015926361084,7.73325252532959,7.791984558105469,7.800985813140869,0.6506478190422058
1620846450.5,2021-05-12T12:07:30.500000-07:00,0.9916574358940125,1.307321310043335,1.516677737236023,1.5585488080978394,6.247808933258057,7.613770484924316,7.897472858428955,7.951022624969482,7.959331035614014,0.611483097076416
1620846451.5,2021-05-12T12:07:31.500000-07:00,1.0323336124420166,1.363807201385498,1.5840678215026855,1.6281193494796753,6.498690128326416,7.923184871673584,8.22122859954834,8.277534484863281,8.286260604858398,0.5963300466537476
1620846452.5,2021-05-12T12:07:32.500000-07:00,1.0863542556762695,1.4493694305419922,1.6926443576812744,1.741299033164978,6.812004089355469,8.323460578918457,8.650513648986816,8.712541580200195,8.722105026245117,0.640079915523529
1620846453.5,2021-05-12T12:07:33.500000-07:00,1.1219409704208374,1.4786760807037354,1.7152140140533447,1.7625205516815186,7.06939697265625,8.61446762084961,8.935065269470215,8.99557113647461,9.004960060119629,0.6232618093490601
1620846454.5,2021-05-12T12:07:34.500000-07:00,1.14669668674469,1.495720386505127,1.7248660326004028,1.7706937789916992,7.2547526359558105,8.820281982421875,9.13322925567627,9.192024230957031,9.201202392578125,0.6075453758239746
1620846455.5,2021-05-12T12:07:35.500000-07:00,1.163464069366455,1.510441541671753,1.7371511459350586,1.782491683959961,7.374309062957764,8.956474304199219,9.267243385314941,9.325499534606934,9.334619522094727,0.6174955368041992
1620846456.5,2021-05-12T12:07:36.500000-07:00,1.1871700286865234,1.4880573749542236,1.6763620376586914,1.714021921157837,7.624749183654785,9.192644119262695,9.459516525268555,9.508565902709961,9.51644515991211,0.6241403818130493
1620846457.5,2021-05-12T12:07:37.500000-07:00,1.2012144327163696,1.5056613683700562,1.696193814277649,1.7342991828918457,7.714951992034912,9.301395416259766,9.571425437927246,9.621054649353027,9.629027366638184,0.6241403818130493
1620846458.5,2021-05-12T12:07:38.500000-07:00,1.221497893333435,1.5251390933990479,1.714077115058899,1.7518643140792847,7.8564300537109375,9.464459419250488,9.733430862426758,9.782736778259277,9.79068374633789,0.630192756652832
1620846459.5,2021-05-12T12:07:39.500000-07:00,1.2531640529632568,1.595183253288269,1.8137073516845703,1.857412576675415,8.002608299255371,9.6790132522583,9.983780860900879,10.040328979492188,10.049300193786621,0.6535816788673401
1620846460.5,2021-05-12T12:07:40.500000-07:00,1.2911475896835327,1.5943738222122192,1.7797355651855469,1.8168094158172607,8.337815284729004,10.022025108337402,10.289582252502441,10.338232040405273,10.346156120300293,0.6259201765060425
1620846461.5,2021-05-12T12:07:41.500000-07:00,1.3341432809829712,1.6756787300109863,1.8900448083877563,1.932918667793274,8.562301635742188,10.327276229858398,10.63039779663086,10.68618392944336,10.69512939453125,0.6417242884635925
1620846462.5,2021-05-12T12:07:42.500000-07:00,1.355637550354004,1.679038166999817,1.8777282238006592,1.917466640472412,8.744792938232422,10.517523765563965,10.803196907043457,10.855260848999023,10.863716125488281,0.6431382894515991
1620846463.5,2021-05-12T12:07:43.500000-07:00,1.3758182525634766,1.6964315176010132,1.891926884651184,1.9310262203216553,8.889298439025879,10.681770324707031,10.964512825012207,11.015864372253418,11.02424144744873,0.6399903893470764
1620846464.5,2021-05-12T12:07:44.500000-07:00,1.3929731845855713,1.7117489576339722,1.9049618244171143,1.943603277206421,9.011134147644043,10.82085132598877,11.101606369018555,11.152457237243652,11.160782814025879,0.6371752023696899
1620846465.5,2021-05-12T12:07:45.500000-07:00,1.4128535985946655,1.7655495405197144,1.9852877855300903,2.0292351245880127,9.084390640258789,10.945630073547363,11.25814151763916,11.315461158752441,11.32469367980957,0.6513334512710571
1620846466.5,2021-05-12T12:07:46.500000-07:00,1.4180231094360352,1.7697484493255615,1.988460898399353,2.032203197479248,9.121891021728516,10.98796272277832,11.299481391906738,11.356568336486816,11.365774154663086,0.654763400554657
1620846467.5,2021-05-12T12:07:47.500000-07:00,1.4083203077316284,1.7576390504837036,1.9748549461364746,2.0182979106903076,9.05947494506836,10.9127779006958,11.22216510772705,11.278861999511719,11.288003921508789,0.654763400554657
