Sample,Filter,Layers,Voltage,Date,dP,pen_total,0.3,0.37,0.46,0.57,0.71,0.88,1.09,1.35,1.68,2.08,2.58,3.2,3.96,4.92,6.1,7.56,9.37,Total
1,SMT_FB_THCK,1,N,06/25/2021,5,0.9747621564,0.9885030713,0.9891306061,0.9927713841,0.9867383003,0.9938671705,1.008876553,0.9928472913,0.9780856423,0.9620881472,0.8534599729,0.8490566038,0.5333333333,1.142857143,nan,nan,nan,nan,0.9897673978
2,SMT_FB_THCK,1,N,06/25/2021,4,0.904527176,0.9546140116,0.9329205944,0.9106353089,0.8869390582,0.8653780943,0.8627930479,0.8261396238,0.8256335079,0.7751707232,0.8164116829,0.701754386,0.5,0,nan,nan,nan,nan,0.9309059473
3,SMT_FB_THCK,1,N,06/25/2021,5,0.9263502455,0.9572586767,0.9385093289,0.9241770425,0.9001088486,0.8831490368,0.8957484131,0.8869129047,0.8585703305,0.8154398564,0.7256766642,0.6538461538,0.2666666667,0,nan,nan,nan,nan,0.9386739031
4,PELL_930,1,N,06/25/2021,1,0.9850147493,0.9872752603,0.9924318665,0.9959352856,1.005764823,0.9947076354,1.015257886,0.9781728173,1.026198934,0.9624947324,0.94921875,0.6896551724,0.5555555556,0,nan,0,nan,nan,0.9913502294
5,PELL_930,1,N,06/25/2021,1,0.967076281,0.9800479079,0.9756544631,0.9755471479,0.9667216903,0.9618324351,0.9857291822,0.946388443,0.9474121804,0.9212315074,0.985915493,0.6216216216,1.125,2,nan,0,nan,nan,0.9770150007
6,PELL_930,1,N,06/25/2021,2,1.025272488,1.009236115,1.026837999,1.043013817,1.053718116,1.057911655,1.069364162,1.079133461,1.038305543,1.079338142,1.183932347,1.38028169,1.125,2,nan,nan,nan,nan,1.023249588
7,3M_1860_IPA,1,N,07/06/2021,50,0.4247196456,0.509757458,0.4535002511,0.3782204269,0.3174090425,0.273829044,0.1917217204,0.1426547,0.1053535643,0.08147321429,0.01666666667,0,0,0,nan,nan,0,nan,0.4561297371
8,3M_1860_IPA,1,N,07/06/2021,45,0.3726523888,0.4514148078,0.3874158808,0.3175996876,0.272192471,0.2200690413,0.1643976898,0.1300143266,0.09287326669,0.08222490931,0.05063291139,0,0,0,nan,nan,0,nan,0.3984698966
9,3M_1860_IPA,1,N,07/06/2021,35,0.4967833906,0.5691327932,0.5051316156,0.4418350013,0.3729031926,0.3196699393,0.242042042,0.2066666667,0.1622474747,0.1275881365,0.05982905983,0.06976744186,0,0,nan,0,0,nan,0.5143215606
10,CA_N95_IPA,1,N,07/21/2021,46,0.1030764318,0.1386827074,0.1048887129,0.07440174039,0.05762735966,0.04491947003,0.03310836623,0.02504943968,0.02579218865,0.01407624633,0.008281573499,0,0,0,nan,nan,nan,nan,0.1129679903
11,CA_N95_IPA,1,N,07/21/2021,49,0.1878342422,0.2396560426,0.1892672076,0.1424996808,0.1085181657,0.09008836876,0.06059870059,0.03631112028,0.03534078615,0.02393162393,0,0,0,0,0,nan,nan,nan,0.1995673471
12,CA_N95_IPA,1,N,07/21/2021,45,0.1716735823,0.21596249,0.1702351146,0.1249189053,0.09414319019,0.07621905476,0.04827186716,0.03776129467,0.02313922098,0.01556886228,0.01327433628,0,0,0,0,nan,nan,nan,0.1792620863
13,CA_N99_IPA,1,N,07/21/2021,39,0.3156567041,0.3860535518,0.3353754267,0.277763574,0.2479576065,0.2145523342,0.1630779615,0.1410044801,0.1170423092,0.09838107098,0.07906976744,0.06666666667,0,0,0,nan,nan,nan,0.3433408471
14,CA_N99_IPA,1,N,07/21/2021,47,0.1460348425,0.1797032284,0.147170703,0.1183731433,0.1041557469,0.09863157895,0.07004054243,0.0618805898,0.04969450102,0.05733333333,0.07710843373,0.02985074627,0,0,0,nan,nan,nan,0.1556019958
15,CA_N99_IPA,1,N,07/21/2021,36,0.1881583324,0.2178747205,0.1873048555,0.161076888,0.1463050608,0.142273465,0.1133333333,0.112335958,0.1020497165,0.1215629522,0.0580474934,0.06451612903,0,0,0,0,nan,nan,0.1957368878
16,HAL_MASK,1,N,08/03/2021,11,0.4476571429,0.582745262,0.5090124564,0.4387568797,0.4048307385,0.3569785609,0.3338937611,0.3184448208,0.3188055371,0.3060384263,0.3092436975,0.4624277457,0.2142857143,0,nan,2,nan,nan,0.5061452521
17,HAL_MASK,1,N,08/03/2021,12,0.3985616324,0.5271191187,0.4499929708,0.3684081153,0.3433289993,0.3028318686,0.2777460198,0.2723338485,0.2636819337,0.2742814668,0.2807424594,0.2208588957,0.2162162162,0,nan,0,nan,0,0.4480503974
18,HAL_MASK,1,N,08/03/2021,9,0.5364677517,0.6405543381,0.5937575048,0.5438608764,0.5413083078,0.5097739485,0.4739732423,0.4684790251,0.4580480044,0.4591517578,0.4475362319,0.4216216216,0.2424242424,0,nan,2,nan,0,0.5924354912
19,FILTI,1,N,08/03/2021,9,0.7600819015,0.8342937015,0.8061856032,0.7754798041,0.7646511628,0.7301396049,0.7124559995,0.704812369,0.7171264529,0.6960661488,0.7140381282,0.5604395604,0.4444444444,1.2,0,nan,nan,nan,0.8025900785
