Sample,Filter,Layers,Voltage,Date,dP,pen_total,0.3,0.37,0.46,0.57,0.71,0.88,1.09,1.35,1.68,2.08,2.58,3.2,3.96,4.92,6.1,7.56,9.37,Total
4,PELL_930,1,N,06/25/2021,1,0.9850147493,0.9872752603,0.9924318665,0.9959352856,1.005764823,0.9947076354,1.015257886,0.9781728173,1.026198934,0.9624947324,0.94921875,0.6896551724,0.5555555556,0,nan,0,nan,nan,0.9913502294
5,PELL_930,1,N,06/25/2021,1,0.967076281,0.9800479079,0.9756544631,0.9755471479,0.9667216903,0.9618324351,0.9857291822,0.946388443,0.9474121804,0.9212315074,0.985915493,0.6216216216,1.125,2,nan,0,nan,nan,0.9770150007
6,PELL_930,1,N,06/25/2021,2,1.025272488,1.009236115,1.026837999,1.043013817,1.053718116,1.057911655,1.069364162,1.079133461,1.038305543,1.079338142,1.183932347,1.38028169,1.125,2,nan,nan,nan,nan,1.023249588
7,SATEEN,1,N,06/29/2021,15,0.9196940727,0.9492233725,0.9293199482,0.9366213976,0.9186096906,0.8995875841,0.8952996531,0.9129556292,0.8604923798,0.8191565404,0.7375415282,0.5454545455,1.090909091,0,nan,nan,nan,nan,0.9387350174
8,SATEEN,1,N,06/29/2021,15,0.9805517865,1.028992664,1.042607807,0.9506692386,0.8895576743,0.868467748,0.8365815313,0.7917624713,0.79834462,0.7968627451,0.8167539267,0.8181818182,0.75,1.6,2,nan,nan,nan,1.010180897
9,SATEEN,1,N,06/29/2021,14,0.8572402819,0.8650697576,0.8959218872,0.9264899619,0.9376240321,0.9295573275,0.9331045111,0.8678327349,0.9329346433,0.8532306376,0.7335766423,0.7096774194,1.333333333,0.8,2,0,nan,nan,0.885328229
10,KONA,1,N,06/29/2021,53,0.8763342879,0.9311317367,0.9137345082,0.8870370502,0.8651803576,0.8363751511,0.7684680218,0.6761493523,0.647753064,0.5756321839,0.4640657084,0.2857142857,0.1739130435,0.2857142857,0,0,nan,nan,0.9126371951
11,KONA,1,N,06/29/2021,51,0.8405797101,0.9091869571,0.8644844768,0.8271487294,0.797272538,0.7609927007,0.7024611948,0.6437594745,0.5771966047,0.5065420561,0.4406130268,0.1904761905,0.25,0,1,nan,nan,0,0.875296482
12,KONA,1,N,06/29/2021,41,0.8953217886,0.9420360068,0.9137765862,0.8820071361,0.8589475014,0.8261674172,0.7892769492,0.7443044111,0.6812695574,0.6327272727,0.5307692308,0.4651162791,0.2962962963,0.5454545455,0,0,nan,0,0.9181675854
13,FLANNEL,1,N,06/29/2021,16,0.8622803433,0.9010454866,0.8720781495,0.847959965,0.8197029725,0.7908451675,0.7804125699,0.7369205915,0.6929061785,0.6536185708,0.6749482402,0.375,0.2962962963,0.3636363636,0,0,nan,nan,0.8791237802
