Test Number: 2
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622231322.224222
Stop Time: 1622231436.8888204
Run Time: 114
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1622231337.0,367820.0,170851.0,75751.0,22776.0,6998.0,5433.0,1177.0,633.0,352.0,65.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0
16,1622231397.0,322638.0,143217.0,59005.0,16316.0,4762.0,3271.0,573.0,233.0,100.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
