Test Number: 14
Sensor: SPS30
Start Time: 1622232763.253429
Stop Time: 1622232879.7827492
Run Time: 116
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1,1,1,1
39,1622232777.1349983,206.60232315063476,245.8083272298177,267.9304949442546,272.3549306233724
40,1622232837.3416657,206.68450291951498,244.86477406819662,266.1530064900716,270.410622660319
