Test Number: 15
Sensor: SPS30
Start Time: 1622232882.69183
Stop Time: 1622233053.4959524
Run Time: 171
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1.0048824396626175,1.0007962612067738,0.998108441820368,0.9976240433506407
41,1622232897.0677972,207.02129376944848,246.16695856643935,268.2207967467227,272.6315369686838
42,1622232956.765001,208.77437260945638,246.17864278157552,266.7416168212891,270.8541997273763
43,1622233016.9650009,201.12250696818035,243.07846094767254,267.6810854593913,272.6015813191732
