Test Number: 2
Sensor: SPS30
Start Time: 1622231322.224222
Stop Time: 1622231436.8888204
Run Time: 114
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1,1,1,1
15,1622231336.8350015,233.8438242594401,274.87559560139977,297.2085159301758,301.67508900960286
16,1622231397.2099998,209.98962809244793,244.53336435953776,262.7247472127279,266.3630045572917
