Test Number: 11
Sensor: SPS30
Start Time: 1622232410.696717
Stop Time: 1622232518.784104
Run Time: 108
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1.0382675682882734,1.0561763873685275,1.0680714615527602,1.0702251249241495
33,1622232417.0423744,204.7554091114109,243.21154526532706,264.8127118126821,269.1329612085375
34,1622232476.7800002,196.667884572347,232.53691177368165,252.42040939331054,256.39709548950196
