Test Number: 12
Sensor: SPS30
Start Time: 1622232523.0803587
Stop Time: 1622232636.560135
Run Time: 113
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1,1,1,1
35,1622232536.9783347,197.94914321899415,234.59354248046876,255.0449640909831,259.135262298584
36,1622232597.1816657,196.0364148457845,230.86610488891603,249.93778330485026,253.7521105448405
