Test Number: 11
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622232410.696717
Stop Time: 1622232518.784104
Run Time: 108
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1.0382675682882734,1.0382675682882734,1.0382675682882734,1.0382675682882734,1.0382675682882734,1.0382675682882734,1.0382675682882734,1.0382675682882734,1.0382675682882734,1.0561763873685275,1.0561763873685275,1.0680714615527602,1.0680714615527602,1.0680714615527602,1.0680714615527602,1.0702251249241495,1.0702251249241495
33,1622232417.0,589710.0,310458.0,162279.0,54247.0,18571.0,17757.0,4890.0,2687.0,1630.0,454.0,84.0,24.0,7.0,2.0,1.0,0.0,0.0
34,1622232477.0,593503.0,316306.0,169241.0,58754.0,20785.0,19881.0,5357.0,3119.0,1743.0,470.0,90.0,27.0,11.0,1.0,0.0,0.0,0.0
