Test Number: 5
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622231681.2214406
Stop Time: 1622231796.709699
Run Time: 115
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1.0070895015370052,1.0070895015370052,1.0070895015370052,1.0070895015370052,1.0070895015370052,1.0070895015370052,1.0070895015370052,1.0070895015370052,1.0070895015370052,1.0180905251062282,1.0180905251062282,1.0254614317628032,1.0254614317628032,1.0254614317628032,1.0254614317628032,1.0268014385194617,1.0268014385194617
21,1622231697.0,582135.0,307476.0,163214.0,55972.0,20155.0,19116.0,5256.0,3055.0,1769.0,466.0,89.0,25.0,7.0,2.0,1.0,0.0,0.0
22,1622231757.0,604294.0,316754.0,167863.0,56601.0,20590.0,19111.0,5144.0,2853.0,1747.0,461.0,80.0,29.0,7.0,4.0,1.0,0.0,0.0
