Test Number: 4
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622231562.250269
Stop Time: 1622231677.1018004
Run Time: 115
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1622231577.0,362671.0,166840.0,73448.0,21992.0,6544.0,5069.0,1172.0,624.0,339.0,83.0,23.0,8.0,3.0,0.0,1.0,0.0,0.0
20,1622231637.0,362399.0,162771.0,69129.0,19928.0,5730.0,4185.0,806.0,410.0,174.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
