Test Number: 13
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622232642.4165964
Stop Time: 1622232760.5757642
Run Time: 118
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,0.9627316628093685,0.9627316628093685,0.9627316628093685,0.9627316628093685,0.9627316628093685,0.9627316628093685,0.9627316628093685,0.9627316628093685,0.9627316628093685,0.9603838481796027,0.9603838481796027,0.9588225113954094,0.9588225113954094,0.9588225113954094,0.9588225113954094,0.9585397030793055,0.9585397030793055
37,1622232657.0,578514.0,303767.0,159212.0,54372.0,19020.0,17780.0,4818.0,2816.0,1487.0,434.0,86.0,16.0,7.0,1.0,1.0,1.0,0.0
38,1622232717.0,605952.0,323215.0,170977.0,58777.0,21112.0,19880.0,5484.0,3057.0,1868.0,501.0,99.0,17.0,6.0,4.0,0.0,0.0,0.0
