Test Number: 3
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622231445.94105
Stop Time: 1622231556.817914
Run Time: 111
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1.0466407866982206,1.0466407866982206,1.0466407866982206,1.0466407866982206,1.0466407866982206,1.0466407866982206,1.0466407866982206,1.0466407866982206,1.0466407866982206,1.0400834346484464,1.0400834346484464,1.0356816708575411,1.0356816708575411,1.0356816708575411,1.0356816708575411,1.0348806289845491,1.0348806289845491
17,1622231457.0,559333.0,297179.0,159363.0,54904.0,19422.0,18578.0,5093.0,2870.0,1836.0,501.0,152.0,62.0,46.0,22.0,12.0,8.0,3.0
18,1622231517.0,601625.0,322907.0,171938.0,58909.0,20840.0,19872.0,5429.0,3037.0,1887.0,486.0,93.0,20.0,7.0,5.0,0.0,0.0,0.0
