Test Number: 6
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622231803.8777769
Stop Time: 1622231917.7882276
Run Time: 114
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1622231817.0,246735.0,103088.0,42596.0,11962.0,3548.0,2762.0,651.0,360.0,190.0,42.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
24,1622231877.0,208391.0,81811.0,29254.0,7119.0,1771.0,1089.0,180.0,48.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
