Test Number: 10
Sensor: SPS30
Start Time: 1622232284.6984355
Stop Time: 1622232406.034614
Run Time: 122
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1,1,1,1
31,1622232296.935001,208.8544771830241,251.01318283081054,275.42029469807943,280.3017064412435
32,1622232357.339999,207.9303098042806,251.4611038208008,277.021641031901,282.1337641398112
