Test Number: 12
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622232523.0803587
Stop Time: 1622232636.560135
Run Time: 113
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1622232537.0,525634.0,264345.0,130159.0,41411.0,13754.0,11325.0,2696.0,1400.0,736.0,154.0,16.0,3.0,1.0,2.0,1.0,1.0,0.0
36,1622232597.0,541422.0,274543.0,135085.0,43714.0,14040.0,11814.0,2629.0,1289.0,653.0,116.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
