Test Number: 13
Sensor: SPS30
Start Time: 1622232642.4165964
Stop Time: 1622232760.5757642
Run Time: 118
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,0.9627316628093685,0.9603838481796027,0.9588225113954094,0.9585397030793055
37,1622232657.0084743,202.09530743097855,237.2379871950311,256.28123008598715,260.0898848711434
38,1622232716.9083338,207.14183858235677,247.42202479044596,270.3884521484375,274.9817153930664
