Test Number: 3
Sensor: SPS30
Start Time: 1622231445.94105
Stop Time: 1622231556.817914
Run Time: 111
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1.0466407866982206,1.0400834346484464,1.0356816708575411,1.0348806289845491
17,1622231456.8966103,217.61001509327,255.85931396484375,276.69527008573885,280.8624717583091
18,1622231516.7399988,206.44516983032227,243.5323143005371,263.9469744364421,268.0299102783203
