Test Number: 15
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622232882.69183
Stop Time: 1622233053.4959524
Run Time: 171
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1.0048824396626175,1.0048824396626175,1.0048824396626175,1.0048824396626175,1.0048824396626175,1.0048824396626175,1.0048824396626175,1.0048824396626175,1.0048824396626175,1.0007962612067738,1.0007962612067738,0.998108441820368,0.998108441820368,0.998108441820368,0.998108441820368,0.9976240433506407,0.9976240433506407
41,1622232897.0,592620.0,314429.0,165055.0,56014.0,19761.0,18500.0,4908.0,2774.0,1644.0,394.0,84.0,21.0,8.0,3.0,0.0,0.0,0.0
42,1622232957.0,596694.0,319216.0,169361.0,57945.0,21003.0,19600.0,5344.0,2965.0,1797.0,466.0,90.0,18.0,8.0,5.0,0.0,0.0,0.0
43,1622233017.0,583649.0,308856.0,163503.0,56424.0,19824.0,18128.0,5092.0,2828.0,1691.0,463.0,94.0,26.0,13.0,2.0,1.0,0.0,0.0
