Test Number: 3
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1620848799.0
Stop Time: 1620848829.0
Run Time: 30
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
N/A
180,1620848799.0,99365.0,49621.0,25030.0,7714.0,2465.0,2660.0,725.0,388.0,198.0,75.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,1.727615,30.091,0.0,101.2,0.0,0.0
181,1620848809.0,100503.0,50031.0,25092.0,7732.0,2485.0,2545.0,686.0,408.0,218.0,69.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,1.733716,30.104,0.0,101.2,0.0,0.0
182,1620848819.0,100526.0,50256.0,25959.0,8100.0,2569.0,2652.0,758.0,401.0,220.0,52.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.761658,30.109,0.0,101.203,0.0,0.0
