Epoch_UTC,0.3_Bin,0.5_Bin,1.0_Bin,2.5_Bin,5.0_Bin,10.0_Bin,PM_1.0_SP,PM_2.5_SP,PM_10.0_SP,PM_1.0_AM,PM_2.5_AM,PM_10.0_AM
1621526938.3901,609.0000,197.0000,17.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621526939.2281,609.0000,197.0000,17.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621526940.0661,594.0000,189.0000,19.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621526940.9751,594.0000,189.0000,19.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526941.8131,594.0000,189.0000,19.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526942.6521,600.0000,189.0000,21.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526943.5611,600.0000,189.0000,21.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526944.4001,600.0000,189.0000,21.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526945.2381,618.0000,195.0000,19.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526946.1461,618.0000,195.0000,19.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526946.9851,618.0000,195.0000,19.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526947.8231,618.0000,195.0000,19.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526948.7321,618.0000,195.0000,19.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526949.5701,618.0000,195.0000,19.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526950.4081,618.0000,194.0000,15.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526951.3171,618.0000,194.0000,15.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526952.1551,618.0000,194.0000,15.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526952.9941,612.0000,192.0000,16.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526953.9021,612.0000,192.0000,16.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526954.7411,612.0000,192.0000,16.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526955.5801,663.0000,207.0000,16.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526956.4881,663.0000,207.0000,16.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526957.3271,663.0000,207.0000,16.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526958.1651,645.0000,199.0000,13.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526959.0731,645.0000,199.0000,13.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526959.9121,645.0000,199.0000,13.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526960.7511,663.0000,205.0000,16.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526961.6591,663.0000,205.0000,16.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526962.4981,663.0000,205.0000,16.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526963.3361,612.0000,189.0000,15.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526964.2451,612.0000,189.0000,15.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526965.0831,612.0000,189.0000,15.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526965.9221,612.0000,191.0000,17.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526966.8301,612.0000,191.0000,17.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526967.6691,612.0000,191.0000,17.0000,1.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526968.5081,612.0000,191.0000,17.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526969.4161,612.0000,191.0000,17.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526970.2551,612.0000,191.0000,17.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526971.0931,567.0000,178.0000,17.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526972.0011,567.0000,178.0000,17.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526972.8401,567.0000,178.0000,17.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526973.6791,612.0000,191.0000,18.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526974.5871,612.0000,191.0000,18.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526975.4261,612.0000,191.0000,18.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526976.2641,585.0000,183.0000,18.0000,2.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621526977.1731,585.0000,183.0000,18.0000,2.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621526978.0111,585.0000,183.0000,18.0000,2.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621526978.8501,597.0000,187.0000,20.0000,2.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621526979.7581,597.0000,187.0000,20.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526980.5971,597.0000,187.0000,20.0000,2.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526981.4361,540.0000,170.0000,20.0000,2.0000,1.0000,0.0000,3.0000,3.0000,4.0000,3.0000,3.0000,4.0000
1621526982.3441,540.0000,170.0000,20.0000,2.0000,1.0000,0.0000,3.0000,3.0000,4.0000,3.0000,3.0000,4.0000
1621526983.1831,540.0000,170.0000,20.0000,2.0000,1.0000,0.0000,3.0000,3.0000,4.0000,3.0000,3.0000,4.0000
1621526984.0211,603.0000,193.0000,29.0000,2.0000,1.0000,0.0000,3.0000,4.0000,5.0000,3.0000,4.0000,5.0000
1621526984.9291,603.0000,193.0000,29.0000,2.0000,1.0000,0.0000,3.0000,4.0000,5.0000,3.0000,4.0000,5.0000
1621526985.7681,603.0000,193.0000,29.0000,2.0000,1.0000,0.0000,3.0000,4.0000,5.0000,3.0000,4.0000,5.0000
1621526986.6071,624.0000,200.0000,29.0000,2.0000,1.0000,0.0000,4.0000,4.0000,5.0000,4.0000,4.0000,5.0000
